TID,property_type,building_size,open_date,listing_agency,price,city,zip_code,phone,product_depth,bedroom_count,bathroom_count,parking_count
1351209,Apartment,,Added 2 days ago,Real Estate Central - DARWIN CITY,"$660,000",Parap,820,08 8943 3000,premiere,3,2,3
1351210,Apartment,135m²,Under offer,Nicole Wheeler@realty - LARRAKEYAH,"$430,000",Rapid Creek,810,417508800,standard,2,2,2
1351211,House,307m²,Added 2 days ago,Ray White - Darwin,Auction,Coconut Grove,810,0408 108 698,premiere,4,3,5
1351212,House,130m²,Added 2 days ago,Ray White - Darwin,Auction,Stuart Park,820,0408 108 698,premiere,2,2,2
1351213,Unit,,Added 2 days ago,Ray White Bayside - FANNIE BAY,"$250,000",Coolalinga,839,08 8986 7131,premiere,1,1,2
1351214,House,,Added 2 days ago,Real Estate Central - DARWIN CITY,Openn Negotiation,Wanguri,810,08 8943 3000,premiere,5,2,6
1351215,House,230m²,Added 2 days ago,For Sale By Owner                                                                                   ,"Offers over $800,000",Karama,812,1300 114 970,standard,5,3,2
1351216,House,,Added 2 days ago,Core Realty NT - RAPID CREEK,"$880,000",Marrara,812,0450 473 710,premiere,4,2,2
1351217,House,,Added 2 days ago,Elders Real Estate - Darwin,FASTRAK,Durack,830,08 8946 0500,premiere,4,2,2
1351218,House,268m²,Added 2 days ago,Elders Real Estate - Palmerston,"PRICE GUIDE $540,000",Gunn,832,08 8931 5000,premiere,3,2,3
1351219,Apartment,218m²,Added 2 days ago,iProperty NT - Darwin,"$825,000",Darwin City,800,0404 877 261,premiere,3,2,2
1351220,House,,Added 2 days ago,Real Estate Central - DARWIN CITY,"Offers Over $399,000 Considered",Bakewell,832,08 8943 3000,premiere,3,1,2
1351221,Unit,,Added 2 days ago,Nicole Wheeler@realty - LARRAKEYAH,"$820,000",Darwin City,800,417508800,premiere,3,2,2
1351222,House,240m²,Added 2 days ago,Call2View Real Estate - Palmerston,"$549,000",Karama,812,08 8932 8858,premiere,4,2,4
1351223,House,,Added 2 days ago,Real Estate Central - DARWIN CITY,Openn Negotiation,Muirhead,810,08 8943 3000,premiere,5,3,2
1351224,House,180m²,Added 3 days ago,Real Value Properties NT - Northern Territory,"OFFERS OVER $370,000",Moulden,830,08 8983 1888,premiere,3,1,4
1351225,House,187m²,Added 3 days ago,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $500,000 - Offers by 6.30pm 22/6/22",Leanyer,812,411724000,premiere,4,2,5
1351226,Unit,,Added 3 days ago,Renee's Realty NT - DURACK,"$325,000",Woodroffe,830,0417 718 149,premiere,2,1,2
1351227,Unit,,Added 3 days ago,@realty - National Head Office Australia,"OVER $450,000",Parap,820,1300 299 377,standard,2,2,2
1351228,Apartment,135m²,Added 3 days ago,@realty - National Head Office Australia,"$430,000",Rapid Creek,810,1300 299 377,standard,2,2,2
1351229,Unit,153m²,Added 3 days ago,Raine & Horne - Darwin,"Offers over $450,000",Woolner,820,08 8941 8941,premiere,2,2,2
1351230,Unit,,Added 3 days ago,Ray White City (NT) -    ,"Offers Over $470,000",Woolner,820,08 8943 3500,premiere,3,2,2
1351231,House,,Added 3 days ago,Urbex - ZUCCOLI,"$612,300",Zuccoli,832,1300 662 746,premiere,4,2,2
1351232,House,,,Urbex - ZUCCOLI,"$592,000",Zuccoli,832,1300 662 746,premiere,4,2,2
1351233,House,,,Urbex - ZUCCOLI,"$614,000",Zuccoli,832,1300 662 746,premiere,4,2,2
1351234,Residential Land,,,Urbex - ZUCCOLI,"$218,000",Zuccoli,832,1300 662 746,premiere,,,
1351235,Residential Land,,,Urbex - ZUCCOLI,"$255,000",Zuccoli,832,1300 662 746,premiere,,,
1351236,House,,Added 3 days ago,Real Estate Central - DARWIN CITY,"$425,000",Moulden,830,08 8943 3000,premiere,3,1,1
1351237,Apartment,,Added 3 days ago,Cate Killiner Real Estate - Woolner,"$325,000",Rapid Creek,810,08 8942 2283,standard,2,1,1
1351238,House,317m²,Added 3 days ago,Call2View Real Estate - Palmerston,"$779,000",Rosebery,832,08 8932 8858,premiere,5,3,3
1351239,Unit,,Added 3 days ago,Real Estate Central - DARWIN CITY,"$450,000",Parap,820,08 8943 3000,premiere,2,2,1
1351240,Apartment,,Added 3 days ago,For Sale By Owner                                                                                   ,"$425,000",Woolner,820,1300 114 970,standard,2,2,2
1351241,Unit,,Added 4 days ago,Property Shop - Darwin,$369 000,Darwin City,800,08 8981 5000,premiere,2,1,1
1351242,House,,Added 4 days ago,Ray White City (NT) -    ,"$850,000",Rapid Creek,810,08 8943 3500,premiere,3,1,2
1351243,House,,Added 4 days ago,Core Realty NT - RAPID CREEK,"$539,000",Anula,812,0450 473 710,premiere,3,1,2
1351244,Apartment,,Added 4 days ago,North Property NT - STUART PARK,"$395,000",Parap,820,08 898 11088 ,premiere,1,1,2
1351245,Unit,,Added 4 days ago,Real Estate NT by George Pikos - FANNIE BAY,"Offers under $340,000",Rosebery,832,08 8941 9959,premiere,2,2,2
1351246,House,,Added 4 days ago,Real Estate Central - DARWIN CITY,Openn Negotiation,Parap,820,08 8943 3000,premiere,5,3,4
1351247,Unit,,Added 4 days ago,Ray White - NIGHTCLIFF,"$475,000",Stuart Park,820,08 8982 2403,premiere,2,1,2
1351248,House,330m²,Added 4 days ago,Piening Property Sales - COOLALINGA,"$1,050,000",Virginia,834,429826650,premiere,4,2,4
1351249,House,,Added 4 days ago,All Real Estate NT,"$570,000",Gray,830,0419 592 414,midtier,4,2,2
1351250,House,,Added 4 days ago,Call2View Real Estate - Palmerston,"$419,000",Rosebery,832,08 8932 8858,premiere,3,2,2
1351251,Unit,64m²,Added 4 days ago,@realty - National Head Office Australia,"Offers Over $285,000",Fannie Bay,820,1300 299 377,midtier,2,1,1
1351252,Unit,,Added 6 days ago,Real Estate Central Projects - Darwin,"$439,000",Darwin City,800,08 8943 3000,premiere,2,2,1
1351253,House,,Added 6 days ago,No Agent Property - BRIGHTON EAST,"$470,000 Negotiable",Woodroffe,830,1300 850 855,standard,3,1,3
1351254,Acreage,,Added 6 days ago,Real Estate Central Projects - Darwin,Under Offer,Virginia,834,08 8943 3000,premiere,2,2,10
1351255,Unit,,Added 6 days ago,LJ Hooker Darwin -   ,"$365,000",Woolner,820,08 8924 0900,premiere,2,2,2
1351256,Unit,65m²,,Real Estate Central - DARWIN CITY,"$299,000",Rapid Creek,810,08 8943 3000,premiere,2,1,1
1351257,House,,,LJ Hooker Darwin -   ,"$499,000",Bakewell,832,08 8924 0900,premiere,3,2,2
1351258,Unit,,,Absolute Real Estate NT - Darwin,"$420,000 +",Stuart Park,820,08 8930 6600,premiere,2,2,2
1351259,Unit,,,Real Estate Central - DARWIN CITY,"$270,000",Wagaman,810,08 8943 3000,premiere,2,1,0
1351260,Unit,,,Ray White Bayside - FANNIE BAY,"$280,000",Stuart Park,820,08 8986 7131,premiere,2,1,1
1351261,Unit,,,Raine & Horne - Darwin,"Price guide-$275,000-$325,000",Bakewell,832,08 8941 8941,premiere,2,1,3
1351262,Residential Land,,,Alliance Realty - Larrakeyah,"$269,000",Farrar,830,08 8982 8282,premiere,,,
1351263,Acreage,,Under offer,Litchfield Realty - Humpty Doo,"$750,000",Humpty Doo,836,08 8988 2343,premiere,4,2,6
1351264,Unit,,,First National Real Estate O'Donoghues - Darwin,"Offers above $285,000",Bakewell,832,08 8942 8942,premiere,2,1,1
1351265,House,243m²,,Call2View Real Estate - Palmerston,"$599,000",Durack,830,08 8932 8858,premiere,4,2,2
1351266,Apartment,,,Real Estate Central - DARWIN CITY,"$455,000",Darwin City,800,08 8943 3000,premiere,2,2,1
1351267,House,,,Real Estate Central Projects - Darwin,Openn Negotiation,Tiwi,810,08 8943 3000,premiere,3,1,2
1351268,Unit,,,LJ Hooker Darwin -   ,Expression of Interest,Fannie Bay,820,08 8924 0900,premiere,1,1,0
1351269,Unit,,,Elders Real Estate - Darwin,"PRICE GUIDE $575,000",Rapid Creek,810,08 8946 0500,premiere,3,2,3
1351270,House,,,Elders Real Estate - Darwin,UNDER OFFER,Anula,812,08 8946 0500,premiere,4,2,3
1351271,Apartment,,,Professionals - DARWIN CITY,"$280,000",Darwin City,800,08 8941 8289,premiere,1,1,1
1351272,House,,,Real Estate Central - DARWIN CITY,Auction,Rapid Creek,810,08 8943 3000,premiere,4,3,2
1351273,House,,,For Sale By Owner                                                                                   ,"$579,000",Zuccoli,832,1300 114 970,standard,4,2,2
1351274,House,,,First National Real Estate O'Donoghues - Darwin,Expressions Of Interest,Parap,820,08 8942 8942,premiere,4,3,2
1351275,House,,,Elders Real Estate - Darwin,"PRICE GUIDE $530,000",Karama,812,08 8946 0500,premiere,3,1,2
1351276,House,,,Elders Real Estate - Darwin,UNDER OFFER,Durack,830,08 8946 0500,premiere,4,2,2
1351277,House,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Woodroffe,830,08 8943 3000,premiere,5,3,3
1351278,Townhouse,,Under offer,Ray White - NIGHTCLIFF,JUST LIKE THAT: UNDER CONTRACT IN 5 DAYS,Stuart Park,820,08 8982 2403,premiere,3,3,3
1351279,House,337m²,,Elders Real Estate - Palmerston,"$739,000",Berry Springs,838,08 8931 5000,premiere,4,2,2
1351280,House,356m²,,Elders Real Estate - Palmerston,"PRICE GUIDE $750,000",Bellamack,832,08 8931 5000,premiere,4,2,3
1351281,House,225m²,Under offer,Knight Frank (NT) - Darwin,UNDER CONTRACT,Rosebery,832,08 8982 2500,premiere,6,2,2
1351282,House,,,Absolute Real Estate NT - Darwin,"$535,000 +",Gray,830,08 8930 6600,premiere,4,3,6
1351283,House,,,Red Earth Property,"$629,000",Humpty Doo,836,422315897,premiere,3,1,4
1351284,Unit,,,Absolute Real Estate NT - Darwin,"$275,000 +",Stuart Park,820,08 8930 6600,premiere,1,1,1
1351285,Unit,,,Freedom Property - Australia,PROPERTY PREVIEW,Parap,820,07 3999 8324,premiere,3,2,2
1351286,House,,,Raine & Horne - Darwin,"Offers Over $550,000",Malak,812,08 8941 8941,premiere,3,1,2
1351287,House,,,K G Young & Associates Pty Ltd - Darwin,"$639,000",Woolner,820,08 89 432 432,premiere,3,2,1
1351288,Townhouse,,,Elders Real Estate - Darwin,FASTRAK,Bayview,820,08 8946 0500,premiere,3,2,2
1351289,House,,,First National Real Estate O'Donoghues - Darwin,"Offers over $650,000",Bellamack,832,08 8942 8942,premiere,4,2,2
1351290,House,,,Real Estate Central - DARWIN CITY,Auction,Fannie Bay,820,08 8943 3000,premiere,5,4,4
1351291,House,,Under offer,Elders Real Estate - Darwin,UNDER CONTRACT,Wulagi,812,08 8946 0500,premiere,3,3,6
1351292,Apartment,,Under offer,Real Estate Central - DARWIN CITY,Under Contract,Nightcliff,810,08 8943 3000,premiere,1,1,1
1351293,Townhouse,,,First National Real Estate O'Donoghues - Darwin,"$329,000",Millner,810,08 8942 8942,premiere,2,1,1
1351294,Apartment,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Darwin City,800,08 8943 3000,premiere,3,2,2
1351295,Apartment,184m²,Under offer,Smith Real Estate NT,"$385,000",Stuart Park,820,417272077,premiere,2,2,2
1351296,Apartment,167m²,,Raine & Horne - Darwin,"$550,000",Bayview,820,08 8941 8941,premiere,3,2,2
1351297,House,174m²,,Raine & Horne - Darwin,"Offers over $549,000",Driver,830,08 8941 8941,premiere,5,2,4
1351298,Unit,83m²,,Nick Mousellis Real Estate - Eview Group Member,"Offer Over $300,000",Leanyer,812,411724000,premiere,2,1,1
1351299,Apartment,,,Cate Killiner Real Estate - Woolner,"$387,000",Larrakeyah,820,08 8942 2283,standard,2,2,1
1351300,House,,,Renee's Realty NT - DURACK,"$420,000",Woodroffe,830,0417 718 149,premiere,3,1,4
1351301,House,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Wulagi,812,08 8943 3000,premiere,3,1,2
1351302,Townhouse,,,Dunvegan Real Estate - PALMERSTON ,"$590,000",Bayview,820,0408 952 595,premiere,3,3,3
1351303,House,,Under offer,Call2View Real Estate - Palmerston,"Offers over $489,000",Durack,830,08 8932 8858,premiere,3,2,2
1351304,House,,,LJ Hooker Darwin -   ,"Offers over $569,000",Zuccoli,832,08 8924 0900,premiere,4,2,2
1351305,House,,,All About Real Estate NT - DARWIN CITY,"Offers Over $435,000 Considered",Woodroffe,830,0438 404 848,premiere,3,1,2
1351306,House,275m²,,Real Estate Central - DARWIN CITY,"$1,650,000",Howard Springs,835,08 8943 3000,premiere,4,4,10
1351307,Residential Land,,,Kellaborate - Lee Point,"$293,000",Lee Point,810,1300 737 589,premiere,,,
1351308,Residential Land,,,Kellaborate - Lee Point,"$293,000",Lee Point,810,1300 737 589,premiere,,,
1351309,Residential Land,,,Kellaborate - Lee Point,"$293,000",Lee Point,810,1300 737 589,premiere,,,
1351310,Duplex/Semi-detached,,,Cate Killiner Real Estate - Woolner,"$495,000",Rapid Creek,810,08 8942 2283,standard,3,1,1
1351311,Unit,173m²,,Elders Real Estate - Darwin,"PRICE GUIDE $439,000",Darwin City,800,08 8946 0500,premiere,2,2,2
1351312,Acreage,,,No Agent Property - BRIGHTON EAST,"$875,000 negotiable",Humpty Doo,836,1300 850 855,standard,4,2,3
1351313,House,,,Real Estate NT by George Pikos - FANNIE BAY,Auction Action,Alawa,810,08 8941 9959,premiere,3,1,3
1351314,Apartment,,Under offer,Get Realty - PALMERSTON CITY,UNDER CONTRACT,Larrakeyah,820,416175735,premiere,2,2,2
1351315,Apartment,,,Urban Land Sales - DARWIN CITY,"$380,000",Bellamack,832,484067003,standard,3,2,2
1351316,Apartment,,,Urban Land Sales - DARWIN CITY,"$240,000",Bellamack,832,484067003,standard,1,1,1
1351317,Apartment,,,Urban Land Sales - DARWIN CITY,"$315,000",Bellamack,832,484067003,standard,2,2,2
1351318,House,"2,461.93m²",,Gordon & Associates - GIRRAWEEN,"Price Guide $570,000",Woodroffe,830,0417 897 921,premiere,4,3,2
1351319,House,,,Elaine Mills Property Management - COOLALINGA,"$460,000",Bakewell,832,08 8983 1800,premiere,3,2,0
1351320,House,,,For Sale By Owner                                                                                   ,"Offers over $685,000",Leanyer,812,1300 114 970,standard,3,1,5
1351321,House,236m²,,Knight Frank (NT) - Darwin,"$775,000",Darwin City,800,08 8982 2500,premiere,3,2,2
1351322,Other,190m²,,Sale By Home Owner - Australia,"$429,000",Stuart Park,820,1300 609 392,standard,3,2,2
1351323,House,,,Sale By Home Owner - Australia,"Offers over $635,000",Bellamack,832,1300 609 392,standard,4,2,4
1351324,Apartment,181m²,,Get Realty - PALMERSTON CITY,"$625,000",Darwin City,800,416175735,premiere,3,2,2
1351325,House,,,Ausway Group,"$580,000",Bellamack,832,451125286,premiere,4,2,0
1351326,House,,,Real Estate Central - DARWIN CITY,"Auction - Bidding from $700,000",Virginia,834,08 8943 3000,premiere,4,2,4
1351327,House,187m²,,Elders Real Estate - Palmerston,AUCTION: Saturday 4th Jun @11am On-Site,Durack,830,08 8931 5000,premiere,5,3,2
1351328,House,,,Cate Killiner Real Estate - Woolner,"$399,000",Driver,830,08 8942 2283,standard,3,1,1
1351329,House,,,LJ Hooker Darwin -   ,"$750,000",Johnston,832,08 8924 0900,premiere,5,2,2
1351330,House,,,LJ Hooker Darwin -   ,"$480,000",Rosebery,832,08 8924 0900,premiere,3,1,2
1351331,House,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Millner,810,08 8943 3000,premiere,3,1,0
1351332,House,228m²,Under offer,Elders Real Estate - Palmerston,UNDER CONTRACT,Humpty Doo,836,08 8931 5000,premiere,3,1,2
1351333,Duplex/Semi-detached,,,Elders Real Estate - Palmerston,"$529,000",Coolalinga,839,08 8931 5000,premiere,3,2,2
1351334,House,212m²,Under offer,Piening Property Sales - COOLALINGA,Under  Contract,Herbert,836,429826650,premiere,3,2,2
1351335,House,,,Real Estate Central Projects - Darwin,"Current Bid $650,000",Zuccoli,832,08 8943 3000,premiere,4,2,4
1351336,Unit,,,Territory Real Estate - Darwin,"Overs Over $599,000 Considered",Darwin City,800,889855678,premiere,2,2,2
1351337,Townhouse,,,Real Estate Central - DARWIN CITY,"$659,000",Stuart Park,820,08 8943 3000,premiere,3,2,2
1351338,Townhouse,,Under offer,Freedom Property - Australia,PROPERTY PREVIEW,Nightcliff,810,07 3999 8324,premiere,2,1,2
1351339,Apartment,69m²,,Knight Frank (NT) - Darwin,"$490,000",Darwin City,800,08 8982 2500,premiere,1,1,1
1351340,House,,,Complete Real Estate (NT),"Price Guide High $500,000",Howard Springs,835,08 8983 1266,premiere,3,1,2
1351341,House,,,Raine & Horne - Darwin,"Offers over $405,000",Moulden,830,08 8941 8941,premiere,3,1,2
1351342,House,189m²,,Elders Real Estate - Palmerston,"PRICE GUIDE $545,000",Gunn,832,08 8931 5000,premiere,3,2,2
1351343,Unit,,,Sale By Home Owner - Australia,"$420,000",Humpty Doo,836,1300 609 392,standard,3,2,2
1351344,House,,,Nick Mousellis Real Estate - Eview Group Member,Auction - Wednesday 15th June 2022 at 5.30pm,Durack,830,411724000,premiere,6,3,2
1351345,House,400m²,Under offer,Real Value Properties NT - Northern Territory,"OFFERS OVER $690,000",Herbert,836,08 8983 1888,premiere,5,2,12
1351346,House,,Under offer,Professionals - DARWIN CITY,New to Market,Lyons,810,08 8941 8289,premiere,5,2,4
1351347,House,,,Elders Real Estate - Darwin,"PRICE GUIDE $1,200,000",Nightcliff,810,08 8946 0500,premiere,4,2,2
1351348,House,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Ludmilla,820,08 8943 3000,premiere,5,2,2
1351349,House,,,Real Estate Central - DARWIN CITY,Auction,Leanyer,812,08 8943 3000,premiere,5,3,4
1351350,House,243m²,,Elders Real Estate - Palmerston,"PRICE GUIDE $510,000",Bakewell,832,08 8931 5000,premiere,3,2,2
1351351,House,160m²,Under offer,Elders Real Estate - Palmerston,UNDER CONTRACT,Woodroffe,830,08 8931 5000,premiere,3,1,4
1351352,Townhouse,,,Raine & Horne - Darwin,"Offers Over $750,000",Fannie Bay,820,08 8941 8941,premiere,3,2,2
1351353,Unit,,Under offer,Elders Real Estate - Darwin,UNDER OFFER,Nightcliff,810,08 8946 0500,premiere,2,1,1
1351354,Unit,62m²,,Nick Mousellis Real Estate - Eview Group Member,"$337,500",Darwin City,800,411724000,premiere,1,1,0
1351355,Unit,,,Elders Real Estate - Darwin,FASTRAK,Darwin City,800,08 8946 0500,premiere,1,1,0
1351356,House,138m²,,Call2View Real Estate - Palmerston,"$439,000",Darwin City,800,08 8932 8858,premiere,2,2,1
1351357,House,,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,Alawa,810,08 8943 3000,premiere,4,2,3
1351358,Apartment,81m²,,Knight Frank (NT) - Darwin,"Offers over $299,000",Fannie Bay,820,08 8982 2500,premiere,2,1,0
1351359,Duplex/Semi-detached,,Under offer,Elders Real Estate - Darwin,"PRICE GUIDE $490,000",Zuccoli,832,08 8946 0500,premiere,3,2,2
1351360,House,,,Real Estate Central - DARWIN CITY,"$649,000",Wagaman,810,08 8943 3000,premiere,4,2,2
1351361,House,,,United Realty NT - Parap,Auction on site,Bayview,820,08 8981 2666,premiere,4,2,4
1351362,House,,,Knight Frank (NT) - Darwin,Auction 8th June on site,Fannie Bay,820,08 8982 2500,premiere,3,2,2
1351363,Apartment,,Under offer,Real Estate Central Projects - Darwin,UNDER CONTRACT,Darwin City,800,08 8943 3000,premiere,3,2,2
1351364,House,141m²,Under offer,Piening Property Sales - COOLALINGA,Under  Contract,Girraween,836,429826650,premiere,3,1,2
1351365,Apartment,155m²,,All Real Estate NT,"Offers Over $440,000",Darwin City,800,0419 592 414,midtier,2,2,2
1351366,Residential Land,,,Ray White City (NT) -    ,Expressions of Interest,The Gardens,820,08 8943 3500,premiere,,,
1351367,Unit,,,First National Real Estate O'Donoghues - Darwin,"$320,000",Millner,810,08 8942 8942,premiere,2,1,2
1351368,House,,,Real Estate Central Projects - Darwin,"Current Bid $490,000",Rosebery,832,08 8943 3000,premiere,3,2,2
1351369,House,,Under offer,Real Estate Central Projects - Darwin,UNDER CONTRACT,Zuccoli,832,08 8943 3000,premiere,3,2,2
1351370,Duplex/Semi-detached,,,Real Estate Central - DARWIN CITY,"$489,000",Rosebery,832,08 8943 3000,premiere,3,2,2
1351371,House,,,Real Estate Central Projects - Darwin,"$665,000",Zuccoli,832,08 8943 3000,premiere,4,2,2
1351372,House,,,North Property NT - STUART PARK,AUCTION - Bids from $630K,Parap,820,08 898 11088 ,premiere,4,2,2
1351373,Residential Land,,,Elders Real Estate - Palmerston,"$290,000",Humpty Doo,836,08 8931 5000,premiere,,,
1351374,Unit,,,Elders Real Estate - Palmerston,"PRICE GUIDE $298,000",Bakewell,832,08 8931 5000,premiere,2,1,2
1351375,Unit,,,Elders Real Estate - Darwin,FASTRAK,Tiwi,810,08 8946 0500,premiere,2,1,1
1351376,House,,,Knight Frank (NT) - Darwin,"$660,000",Farrar,830,08 8982 2500,premiere,4,2,2
1351377,House,,,Elders Real Estate - Darwin,"PRICE GUIDE $690,000",Wagaman,810,08 8946 0500,premiere,4,2,2
1351378,House,,,Elders Real Estate - Palmerston,"PRICE GUIDE $590,000",Gunn,832,08 8931 5000,premiere,4,2,2
1351379,House,,,Real Estate Central Projects - Darwin,"Current Bid - $510,000",Zuccoli,832,08 8943 3000,premiere,4,2,2
1351380,Residential Land,,,David Booth Real Estate Pty Ltd - Darwin,"$400,000",Driver,830,0418 892 861,midtier,,,
1351381,Unit,,,For Sale By Owner                                                                                   ,"Offers above $420,000",Stuart Park,820,1300 114 970,standard,2,2,2
1351382,Apartment,114m²,,Professionals - DARWIN CITY,"$640,000",Darwin City,800,08 8941 8289,premiere,2,2,2
1351383,House,,,Call2View Real Estate - Palmerston,"$320,000",Gray,830,08 8932 8858,premiere,2,1,1
1351384,House,,,Call2View Real Estate - Palmerston,"$695,000",Alawa,810,08 8932 8858,premiere,4,2,2
1351385,Apartment,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Stuart Park,820,08 8943 3000,premiere,3,2,2
1351386,House,,Under offer,Elders Real Estate - Darwin,UNDER CONTRACT,Anula,812,08 8946 0500,premiere,4,2,2
1351387,Apartment,,,Cate Killiner Real Estate - Woolner,"$275,000",Stuart Park,820,08 8942 2283,standard,1,1,1
1351388,Unit,,,UpNext Real Estate - DARWIN,"Offers over $285,000",Nightcliff,810,08 8941 1970,premiere,2,1,1
1351389,House,,,All About Real Estate NT - DARWIN CITY,"Offers over $660,000 considered",Wulagi,812,0438 404 848,premiere,3,1,4
1351390,Apartment,,,Real Estate NT by George Pikos - FANNIE BAY,"$435,000",Stuart Park,820,08 8941 9959,premiere,2,2,2
1351391,House,,,Smith Real Estate NT,"$685,000 ONO",Bees Creek,822,417272077,premiere,4,2,4
1351392,House,273m²,,Call2View Real Estate - Palmerston,"$950,000",Howard Springs,835,08 8932 8858,premiere,4,2,7
1351393,Apartment,,,Knight Frank (NT) - Darwin,"$500,000",Darwin City,800,08 8982 2500,premiere,1,1,1
1351394,House,,,For Sale By Owner                                                                                   ,"$498,000",Woodroffe,830,1300 114 970,standard,3,2,5
1351395,House,,,Real Estate Central Projects - Darwin,"Current Bid $740,000",Humpty Doo,836,08 8943 3000,premiere,6,4,10
1351396,Townhouse,,Under offer,Call2View Real Estate - Palmerston,"$450,000",Rosebery,832,08 8932 8858,premiere,3,2,2
1351397,House,,,Freedom Property - Australia,"OFFERS OVER $700,000",Farrar,830,07 3999 8324,premiere,4,2,2
1351398,Unit,,,Absolute Real Estate NT - Darwin,"$305,000 +",Darwin City,800,08 8930 6600,premiere,1,1,1
1351399,Unit,,,Absolute Real Estate NT - Darwin,"$295,000 +",Darwin City,800,08 8930 6600,premiere,1,1,1
1351400,Unit,340m²,Under offer,Colliers International - Darwin,"$795,000",Darwin City,800,08 8997 0888,premiere,3,3,4
1351401,Unit,,,Go Wise - WOOLNER,"$425,000",Stuart Park,820,08 8942 1200,premiere,2,1,2
1351402,House,196m²,,Raine & Horne - Darwin,"Price Guide: $700,000 - $720,000",Bellamack,832,08 8941 8941,premiere,4,2,4
1351403,House,,,Freedom Property - Australia,"$485,000",Woodroffe,830,07 3999 8324,premiere,3,2,4
1351404,House,303m²,Under offer,Elders Real Estate - Palmerston,UNDER CONTRACT,Gunn,832,08 8931 5000,premiere,4,2,3
1351405,House,,,North Property NT - STUART PARK,"$649,000",Wagaman,810,08 898 11088 ,premiere,3,3,2
1351406,House,246m²,,Acacia Realty - NOONAMAH,"$665,000 ONO",Farrar,830,0409 768 420,premiere,4,2,4
1351407,House,,,HERON PROPERTY - DARWIN,Auction ON SITE,Leanyer,812,08 8992 9980,premiere,5,3,2
1351408,House,,,Property Shop - Darwin,"$215,000",Millner,810,08 8981 5000,feature,2,1,1
1351409,House,,Under offer,Elders Real Estate - Palmerston,UNDER CONTRACT,Jingili,810,08 8931 5000,premiere,3,1,2
1351410,House,,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,Lyons,810,08 8943 3000,premiere,4,2,2
1351411,Townhouse,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Stuart Park,820,08 8943 3000,premiere,3,2,2
1351412,Unit,120m²,Under offer,LJ Hooker Darwin -   ,"$339,000",Coconut Grove,810,08 8924 0900,premiere,2,2,2
1351413,Villa,,,First National Real Estate O'Donoghues - Darwin,"Offers above $399,000",The Gardens,820,08 8942 8942,premiere,2,1,1
1351414,Townhouse,,,LJ Hooker Darwin -   ,"$735,000",The Gardens,820,08 8924 0900,premiere,3,2,3
1351415,Acreage,,,Australian Home Partners,"$975,000",Bees Creek,822,476448709,standard,5,2,4
1351416,Unit,,,Territory Real Estate - Darwin,"$295,000",Nightcliff,810,889855678,premiere,2,1,1
1351417,House,,Under offer,Real Estate Central - DARWIN CITY,Under Contract,Rapid Creek,810,08 8943 3000,premiere,5,3,2
1351418,House,,Under offer,Knight Frank (NT) - Darwin,Auction Wednesday 1st of June 2022,Ludmilla,820,08 8982 2500,premiere,5,3,4
1351419,House,,,First National Real Estate O'Donoghues - Darwin,"Offers over $725,000",Durack,830,08 8942 8942,premiere,4,2,2
1351420,House,,,Get Realty - PALMERSTON CITY,"$485,000",Gray,830,416175735,premiere,3,1,2
1351421,House,123m²,Under offer,Call2View Real Estate - Palmerston,"$485,000",Driver,830,08 8932 8858,premiere,3,1,4
1351422,Unit,,,Core Realty NT - RAPID CREEK,"Offers Over $950,000",Darwin City,800,0450 473 710,premiere,3,2,2
1351423,House,,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,Brinkin,810,08 8943 3000,premiere,4,2,2
1351424,House,,Under offer,Cate Killiner Real Estate - Woolner,"$610,000",Johnston,832,08 8942 2283,standard,4,2,4
1351425,House,,,Real Estate Central Projects - Darwin,Openn Negotiation,Zuccoli,832,08 8943 3000,premiere,4,2,2
1351426,House,,,Real Estate Central - DARWIN CITY,"Current Bid $500,000",Rosebery,832,08 8943 3000,premiere,4,2,2
1351427,House,,,Elders Real Estate - Darwin,"PRICE GUIDE $480,000",Gray,830,08 8946 0500,premiere,3,2,2
1351428,House,,,Home Zone NT - DARWIN,"$449,000",Driver,830,0418 895 345,premiere,4,1,6
1351429,House,,,Real Estate Central - DARWIN CITY,"$795,000",Stuart Park,820,08 8943 3000,premiere,4,2,2
1351430,House,,,Raine & Horne - Darwin,"Price Guide: $520,000 - $550,000",Driver,830,08 8941 8941,premiere,4,2,4
1351431,Apartment,,,Real Estate Central - DARWIN CITY,"Offers Over $620,000",Larrakeyah,820,08 8943 3000,premiere,3,2,2
1351432,House,126m²,Under offer,Elders Real Estate - Palmerston,UNDER OFFER,Woodroffe,830,08 8931 5000,premiere,3,1,4
1351433,Unit,,Under offer,Elders Real Estate - Darwin,UNDER CONTRACT,Bayview,820,08 8946 0500,premiere,3,2,2
